PhoneService,InternetService_Fiber optic,OnlineSecurity_Yes,OnlineBackup_Yes,TechSupport_Yes,StreamingTV_No internet service,StreamingMovies_No internet service,Contract_One year,Contract_Two year,PaymentMethod_Electronic check
1,True,False,True,True,False,False,False,True,True
1,False,False,False,False,True,True,False,True,False
0,False,False,False,True,False,False,True,False,False
0,False,True,False,False,False,False,False,True,False
1,False,False,False,False,True,True,True,False,False
1,True,False,True,False,False,False,False,False,True
0,False,True,False,False,False,False,False,False,False
1,True,False,True,True,False,False,False,False,False
1,False,True,True,False,False,False,True,False,True
1,False,False,False,False,False,False,True,False,False
0,False,True,True,True,False,False,True,False,False
1,False,True,True,True,False,False,False,True,True
1,False,False,False,False,True,True,True,False,False
1,True,False,False,False,False,False,False,False,True
1,True,True,False,True,False,False,False,False,False
1,True,True,True,False,False,False,True,False,False
1,False,False,False,False,True,True,False,True,False
1,True,False,True,False,False,False,True,False,True
1,False,False,False,False,True,True,False,True,False
1,True,False,False,False,False,False,False,False,True
1,False,False,False,False,True,True,False,False,False
1,False,False,False,False,True,True,False,True,False
1,True,True,True,True,False,False,False,True,False
1,True,False,False,False,False,False,False,False,False
1,False,False,False,False,True,True,False,False,True
1,False,False,False,False,True,True,False,False,False
1,True,False,False,False,False,False,False,False,False
1,False,True,False,True,False,False,True,False,False
1,False,False,False,False,True,True,False,True,False
1,True,False,True,False,False,False,False,False,False
1,True,False,False,False,False,False,False,False,True
1,False,False,False,False,True,True,False,True,False
1,True,False,False,True,False,False,False,False,False
1,True,False,False,False,False,False,False,False,True
1,True,False,True,False,False,False,False,False,True
1,True,False,False,False,False,False,False,False,True
1,False,False,False,False,True,True,True,False,False
1,False,True,True,False,False,False,False,False,False
1,True,False,True,True,False,False,False,True,False
1,False,False,False,False,True,True,False,True,False
1,False,True,True,True,False,False,False,True,False
1,True,True,True,True,False,False,False,False,True
1,False,True,True,False,False,False,False,False,True
1,False,False,False,False,False,False,False,False,False
1,False,False,False,False,True,True,False,False,False
1,False,False,False,False,True,True,False,True,False
1,False,False,False,False,True,True,False,False,False
1,True,False,False,False,False,False,False,False,False
1,True,True,True,False,False,False,True,False,False
1,True,False,True,False,False,False,False,False,True
1,True,True,True,False,False,False,False,True,False
0,False,True,False,True,False,False,True,False,False
1,True,False,True,False,False,False,False,False,False
1,False,False,False,False,True,True,False,False,False
1,True,False,False,False,False,False,False,False,True
1,False,False,True,True,False,False,False,True,False
1,True,False,False,True,False,False,False,False,False
1,False,True,False,False,False,False,False,False,False
1,False,True,True,True,False,False,False,True,False
1,False,False,True,True,False,False,False,True,False
1,True,False,True,True,False,False,True,False,False
1,True,False,False,False,False,False,False,False,False
1,False,False,False,False,False,False,False,False,True
1,False,True,True,True,False,False,False,False,False
1,True,True,False,True,False,False,True,False,False
1,False,False,False,False,True,True,True,False,False
1,False,False,False,False,True,True,False,True,False
1,False,True,False,True,False,False,True,False,False
1,True,False,True,True,False,False,False,True,False
1,False,False,False,False,True,True,False,False,False
1,False,False,False,False,True,True,True,False,True
1,True,True,True,False,False,False,False,False,False
1,True,False,True,True,False,False,True,False,False
1,True,False,True,True,False,False,False,True,False
1,True,False,True,True,False,False,False,False,False
1,False,False,False,False,True,True,False,True,False
1,True,False,False,False,False,False,False,False,True
1,True,True,True,True,False,False,False,True,False
1,True,False,True,True,False,False,True,False,False
1,False,True,False,False,False,False,False,False,True
1,True,False,False,True,False,False,False,False,False
1,True,False,True,False,False,False,False,False,False
1,True,False,False,False,False,False,False,False,True
1,False,False,False,False,False,False,False,False,False
1,True,False,True,False,False,False,False,False,False
1,True,False,True,False,False,False,False,False,True
1,True,False,False,False,False,False,False,False,True
1,False,False,True,False,False,False,False,False,True
1,True,True,False,True,False,False,True,False,False
1,True,True,True,True,False,False,False,True,False
1,True,True,False,False,False,False,False,False,True
0,False,False,False,False,False,False,False,False,True
1,False,True,True,True,False,False,False,False,False
1,False,False,True,True,False,False,False,True,False
1,False,False,False,False,True,True,False,False,False
1,False,True,True,True,False,False,False,True,False
1,False,True,True,True,False,False,False,False,False
1,False,False,False,False,True,True,False,True,False
1,False,False,True,True,False,False,True,False,False
1,False,True,True,False,False,False,True,False,False
1,True,False,False,False,False,False,False,False,True
1,True,False,False,False,False,False,True,False,False
1,True,True,True,True,False,False,False,True,False
1,True,False,False,False,False,False,False,False,True
1,True,False,True,True,False,False,True,False,False
0,False,True,True,True,False,False,False,True,False
0,False,False,False,True,False,False,False,False,True
1,False,False,False,False,True,True,False,True,False
1,False,True,True,True,False,False,False,True,False
1,True,False,False,True,False,False,False,False,False
1,True,False,True,False,False,False,False,False,True
1,True,False,True,False,False,False,False,False,True
1,True,True,False,True,False,False,False,False,True
1,True,False,False,False,False,False,False,False,False
1,False,False,False,False,True,True,False,True,False
1,True,True,True,False,False,False,False,False,False
1,False,False,False,False,True,True,False,True,False
1,True,False,True,False,False,False,False,True,False
1,False,False,False,False,True,True,True,False,False
1,False,True,False,True,False,False,False,False,False
1,True,False,False,False,False,False,False,False,True
1,False,True,False,True,False,False,False,True,False
1,False,False,False,False,True,True,False,True,False
1,False,False,False,True,False,False,False,False,True
1,False,True,True,True,False,False,False,True,False
1,False,False,True,False,False,False,False,False,True
1,False,False,False,False,True,True,False,False,False
1,False,True,True,True,False,False,False,True,False
1,False,True,True,True,False,False,False,True,False
1,True,False,True,False,False,False,False,False,True
1,False,False,False,False,True,True,False,False,False
1,False,False,True,False,False,False,False,True,True
1,False,False,False,False,True,True,False,False,False
1,True,False,False,False,False,False,False,False,True
1,False,True,False,False,False,False,False,False,True
0,False,False,False,False,False,False,False,False,False
1,False,False,False,False,True,True,False,True,False
1,True,True,False,False,False,False,False,False,False
1,True,True,True,False,False,False,True,False,False
1,True,False,False,False,False,False,False,False,True
1,False,True,True,True,False,False,False,True,False
1,True,False,True,False,False,False,False,False,True
1,True,False,False,False,False,False,False,False,True
1,True,False,False,False,False,False,False,False,True
1,False,False,False,False,True,True,False,False,True
1,False,False,True,True,False,False,False,False,False
1,True,False,False,False,False,False,False,False,False
1,False,False,False,True,False,False,False,True,False
1,True,False,False,True,False,False,False,True,True
